Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population,Income composition of resources
Afghanistan,2003,Developing,56.7,295.0,87,0.01,11.08905273,65.0,798,13.4,122,41.0,8.82,41.0,0.1,198.7285436,2364851.0,0.373
Albania,2003,Developing,72.8,18.0,1,4.29,14.71928882,97.0,8,47.9,1,97.0,6.27,97.0,0.1,189.681557,339616.0,0.674
Algeria,2003,Developing,71.7,146.0,20,0.34,25.0185226,0.0,15374,47.0,23,87.0,3.6,87.0,0.1,294.33556,3243514.0,0.663
Angola,2003,Developing,46.8,388.0,95,3.49,35.93349121,0.0,1196,16.8,155,4.0,4.41,4.0,2.4,779.468356,1823369.0,0.406
Antigua and Barbuda,2003,Developing,74.2,151.0,0,7.16,1158.065259,99.0,0,4.1,0,99.0,4.53,99.0,0.1,9739.82556,0.0,0.0
Argentina,2003,Developing,74.1,137.0,11,7.62,57.58467352,73.0,0,55.7,13,95.0,8.22,96.0,0.1,333.4376,3839379.0,0.77
Armenia,2003,Developing,72.7,134.0,1,3.03,7.341493148,93.0,4,48.1,1,96.0,5.56,94.0,0.1,93.1661567,31786.0,0.657
Australia,2003,Developed,83.0,71.0,1,9.97,3829.550928,95.0,91,6.3,1,92.0,8.32,93.0,0.1,23465.38559,198954.0,0.905
Austria,2003,Developed,78.8,88.0,0,12.2,504.4308735,83.0,90,51.7,0,84.0,1.48,84.0,0.1,3212.9355,8121423.0,0.837
Azerbaijan,2003,Developing,67.8,154.0,7,0.55,42.41491183,51.0,1978,43.6,8,79.0,6.56,77.0,0.1,883.6439965,82341.0,0.659
Bahamas,2003,Developing,73.2,189.0,0,10.68,0.0,88.0,0,56.7,0,93.0,5.62,92.0,0.1,0.0,0.0,0.783
Bahrain,2003,Developing,75.0,85.0,0,2.16,1214.558167,98.0,12,55.2,0,97.0,3.74,97.0,0.1,14221.99259,0.0,0.798
Bangladesh,2003,Developing,66.8,161.0,196,0.01,35.48458957,5.0,4067,11.6,264,9.0,2.51,87.0,0.1,432.7388972,139191.0,0.484
Barbados,2003,Developing,73.7,121.0,0,7.65,13.5139917,91.0,0,45.4,0,9.0,5.82,89.0,0.4,1228.5447,0.0,0.753
Belarus,2003,Developing,67.7,253.0,1,11.17,23.83578594,56.0,21,55.8,1,53.0,6.59,5.0,0.1,1819.525644,9796749.0,0.695
Belgium,2003,Developed,78.3,95.0,0,11.28,507.306164,64.0,44,59.4,1,96.0,9.3,95.0,0.1,3743.95693,1376133.0,0.878
Belize,2003,Developing,68.4,21.0,0,5.67,312.7995946,96.0,0,42.6,0,95.0,4.53,96.0,1.5,3679.99523,26913.0,0.684
Benin,2003,Developing,55.8,285.0,25,1.35,8.931827297,73.0,217,19.7,40,75.0,4.63,73.0,2.1,519.2922847,752555.0,0.416
Bhutan,2003,Developing,63.3,273.0,1,0.52,19.15664091,95.0,0,15.5,1,96.0,4.9,95.0,0.2,997.7417141,623434.0,0.0
Bolivia (Plurinational State of),2003,Developing,64.5,23.0,13,2.37,0.0,8.0,0,44.7,17,82.0,5.3,88.0,0.2,0.0,0.0,0.617
Bosnia and Herzegovina,2003,Developing,75.2,12.0,0,4.14,39.86518043,0.0,18,49.4,0,87.0,7.94,87.0,0.1,2214.732246,3779247.0,0.0
Botswana,2003,Developing,46.4,693.0,2,5.51,299.3671252,9.0,59,31.6,4,96.0,4.65,96.0,31.9,4163.6596,184339.0,0.567
Brazil,2003,Developing,71.8,172.0,88,6.95,15.85781237,97.0,2,46.1,100,99.0,6.94,99.0,0.1,359.587582,182482149.0,0.699
Brunei Darussalam,2003,Developing,76.0,89.0,0,0.12,1406.51194,99.0,24,29.1,0,99.0,3.9,92.0,0.1,18555.56649,0.0,0.823
Bulgaria,2003,Developed,72.0,155.0,1,11.19,32.38616103,96.0,0,58.6,1,96.0,7.43,96.0,0.1,271.46824,7775327.0,0.729
Burkina Faso,2003,Developing,51.6,332.0,49,4.58,41.60951275,0.0,2946,13.3,92,83.0,5.61,79.0,2.9,332.344351,12654621.0,0.0
Burundi,2003,Developing,51.9,387.0,24,5.84,6.545263634,0.0,224,13.5,38,75.0,5.25,82.0,5.1,112.849373,6953113.0,0.276
Côte d'Ivoire,2003,Developing,48.0,473.0,64,3.12,0.0,63.0,4770,2.9,92,68.0,4.65,61.0,6.7,0.0,0.0,0.0
Cabo Verde,2003,Developing,71.1,144.0,0,4.16,209.0865,66.0,0,23.2,0,93.0,5.0,92.0,0.9,1768.92132,46147.0,0.572
Cambodia,2003,Developing,63.0,268.0,21,1.44,55.59543946,0.0,653,13.1,26,69.0,6.74,69.0,1.9,362.4213785,12853124.0,0.445
Cameroon,2003,Developing,51.8,412.0,60,4.64,67.63925302,0.0,899,22.3,95,72.0,4.97,73.0,7.7,824.8689393,16513822.0,0.452
Canada,2003,Developing,79.7,78.0,2,7.7,4687.845565,14.0,15,6.0,2,88.0,9.54,91.0,0.1,28172.14883,31676.0,0.877
Central African Republic,2003,Developing,45.7,51.0,17,1.49,46.11619441,0.0,652,17.5,26,44.0,4.31,47.0,12.8,286.25819,3981665.0,0.316
Chad,2003,Developing,48.4,43.0,44,0.42,3.979243535,0.0,15801,14.8,77,36.0,5.49,23.0,5.1,292.5914364,935321.0,0.284
Chile,2003,Developing,77.9,1.0,2,6.37,584.0993429,0.0,1,56.1,2,96.0,7.34,96.0,0.1,4787.699532,15799542.0,0.775
China,2003,Developing,73.1,13.0,391,2.96,122.9365349,75.0,71879,22.6,467,87.0,4.82,86.0,0.1,1288.642924,12884.0,0.61
Colombia,2003,Developing,72.4,15.0,16,4.25,417.8038898,92.0,0,49.0,19,92.0,5.92,92.0,0.1,2246.257472,42152151.0,0.659
Comoros,2003,Developing,59.6,271.0,2,0.26,45.09010835,28.0,0,18.4,2,8.0,3.65,8.0,0.1,544.566526,583211.0,0.0
Congo,2003,Developing,53.2,417.0,9,2.45,0.0,0.0,3712,2.7,14,5.0,2.61,5.0,6.8,0.0,0.0,0.492
Costa Rica,2003,Developing,78.0,1.0,1,4.04,1070.268999,86.0,1,48.3,1,88.0,8.45,88.0,0.1,4167.71417,4125971.0,0.715
Croatia,2003,Developed,74.7,122.0,0,13.78,93.67706503,0.0,19,56.3,0,95.0,6.35,94.0,0.1,785.881418,444.0,0.765
Cuba,2003,Developing,77.4,18.0,1,4.39,60.34145124,99.0,0,52.1,1,98.0,6.31,72.0,0.1,3192.669378,0.0,0.694
Cyprus,2003,Developed,78.5,66.0,0,10.62,158.7087399,88.0,0,54.3,0,98.0,6.83,98.0,0.1,2293.4789,993563.0,0.815
Czechia,2003,Developed,75.2,122.0,0,13.01,0.0,92.0,30,6.4,0,97.0,7.13,97.0,0.1,0.0,0.0,0.0
Democratic People's Republic of Korea,2003,Developing,68.1,165.0,12,3.13,0.0,27.0,0,26.7,15,99.0,0.0,68.0,0.1,0.0,0.0,0.0
Democratic Republic of the Congo,2003,Developing,52.8,332.0,231,1.83,0.0,0.0,21956,16.1,331,47.0,3.2,41.0,2.2,0.0,0.0,0.0
Denmark,2003,Developed,77.3,11.0,0,11.54,650.9813544,0.0,0,53.9,0,96.0,9.51,96.0,0.1,4458.7764,539574.0,0.882
Djibouti,2003,Developing,58.0,325.0,2,1.02,94.13302875,0.0,37,29.4,2,68.0,6.22,68.0,4.2,819.974118,758615.0,0.378
Dominican Republic,2003,Developing,73.0,22.0,7,6.32,293.0196601,79.0,0,46.1,8,65.0,5.53,79.0,2.3,2372.628827,896776.0,0.665
