Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population,Income composition of resources
Afghanistan,2001,Developing,55.3,316.0,88,0.01,10.5747282,63.0,8762,12.6,122,35.0,7.8,33.0,0.1,117.49698,2966463.0,0.34
Albania,2001,Developing,73.6,14.0,1,4.25,96.20557078,96.0,18,46.0,1,97.0,6.0,97.0,0.1,1326.97339,36173.0,0.662
Algeria,2001,Developing,71.4,145.0,20,0.23,147.9860714,0.0,2686,45.3,24,89.0,3.84,89.0,0.1,1732.857979,31592153.0,0.644
Angola,2001,Developing,45.7,44.0,97,2.58,30.35993647,0.0,9046,15.8,159,41.0,5.38,38.0,2.1,526.168743,16983266.0,0.391
Antigua and Barbuda,2001,Developing,73.8,154.0,0,7.51,163.7676978,96.0,0,38.9,0,99.0,4.48,97.0,0.1,9358.154162,0.0,0.0
Argentina,2001,Developing,74.0,138.0,12,7.76,123.0128671,0.0,0,54.6,13,85.0,9.38,83.0,0.1,717.694674,3747159.0,0.771
Armenia,2001,Developing,72.6,141.0,1,2.86,53.19373012,69.0,69,47.4,1,97.0,5.94,94.0,0.1,694.435119,35655.0,0.644
Australia,2001,Developed,79.9,75.0,1,9.53,3064.301144,94.0,141,59.0,2,91.0,8.18,92.0,0.1,19517.84168,19413.0,0.899
Austria,2001,Developed,78.6,92.0,0,12.4,3582.848308,44.0,0,5.6,0,83.0,1.12,84.0,0.1,24489.73553,842293.0,0.837
Azerbaijan,2001,Developing,67.5,151.0,8,0.51,4.104190077,0.0,574,42.6,10,77.0,4.48,77.0,0.1,73.6838434,81112.0,0.642
Bahamas,2001,Developing,72.9,189.0,0,11.64,0.0,21.0,0,55.2,0,98.0,5.15,99.0,0.2,0.0,0.0,0.779
Bahrain,2001,Developing,74.7,9.0,0,1.95,1150.418063,99.0,5,54.8,0,99.0,3.8,99.0,0.1,12868.211,0.0,0.794
Bangladesh,2001,Developing,65.8,168.0,219,0.01,3.395069781,0.0,4414,1.8,298,85.0,2.47,85.0,0.1,42.5981152,1341716.0,0.468
Barbados,2001,Developing,73.4,125.0,0,7.38,138.1664627,18.0,0,43.8,0,93.0,5.47,84.0,0.7,11513.87189,0.0,0.75
Belarus,2001,Developing,67.7,254.0,1,10.74,14.06141699,93.0,45,54.9,1,99.0,6.62,99.0,0.1,1244.373185,9928549.0,0.681
Belgium,2001,Developed,78.0,1.0,1,11.01,2943.375396,6.0,83,58.5,1,96.0,8.29,95.0,0.1,23121.56635,128657.0,0.873
Belize,2001,Developing,68.2,21.0,0,4.9,251.6586929,96.0,0,41.4,0,96.0,4.5,96.0,0.4,3419.275719,254984.0,0.677
Benin,2001,Developing,55.5,281.0,25,1.29,45.33476384,0.0,5859,18.8,40,77.0,4.69,76.0,2.1,378.73654,776733.0,0.395
Bhutan,2001,Developing,61.7,29.0,1,0.14,8.574029812,89.0,756,14.4,1,88.0,5.91,88.0,0.1,87.9387673,5896.0,0.0
Bolivia (Plurinational State of),2001,Developing,63.3,238.0,14,2.2,0.0,77.0,0,43.3,19,71.0,6.31,71.0,0.1,0.0,0.0,0.607
Bosnia and Herzegovina,2001,Developing,74.9,113.0,0,3.85,143.2947487,0.0,0,48.2,0,92.0,7.16,91.0,0.1,1524.41222,3771284.0,0.0
Botswana,2001,Developing,46.7,679.0,2,5.48,306.9527349,87.0,1,3.5,4,97.0,5.73,97.0,37.2,3128.97793,1754935.0,0.56
Brazil,2001,Developing,71.0,179.0,103,7.13,149.4802091,91.0,1,44.5,118,99.0,7.19,98.0,0.1,3146.95177,1777567.0,0.685
Brunei Darussalam,2001,Developing,74.7,19.0,0,0.47,1078.66244,99.0,11,27.0,0,99.0,3.6,97.0,0.1,16468.12886,0.0,0.819
Bulgaria,2001,Developed,71.6,16.0,1,10.72,25.06262895,93.0,8,57.5,1,94.0,7.23,94.0,0.1,1764.97387,89142.0,0.713
Burkina Faso,2001,Developing,56.0,344.0,48,4.56,23.1016899,0.0,4174,12.5,93,62.0,4.85,62.0,3.6,235.4912324,11944587.0,0.0
Burundi,2001,Developing,51.3,385.0,25,6.09,10.61917585,0.0,0,13.0,40,72.0,4.96,81.0,5.3,133.7427689,6555829.0,0.268
Côte d'Ivoire,2001,Developing,47.8,467.0,65,3.15,0.0,1.0,5790,19.9,94,7.0,4.85,66.0,7.0,0.0,0.0,0.0
Cabo Verde,2001,Developing,73.0,152.0,0,3.81,150.7434862,0.0,0,22.1,0,91.0,5.19,9.0,0.8,1268.884564,443716.0,0.562
Cambodia,2001,Developing,58.5,273.0,25,1.71,27.68971051,0.0,3761,12.4,33,59.0,5.7,6.0,2.2,321.22634,1242473.0,0.412
Cameroon,2001,Developing,51.5,41.0,61,4.43,41.73629221,0.0,23934,21.3,99,61.0,4.7,63.0,7.9,614.6729339,15671927.0,0.437
Canada,2001,Developing,79.4,8.0,2,7.6,3665.089703,0.0,34,58.5,2,88.0,9.1,89.0,0.1,23691.59472,31819.0,0.867
Central African Republic,2001,Developing,45.6,54.0,17,1.52,33.65315697,0.0,2837,16.8,25,4.0,3.95,4.0,13.9,243.1586486,383223.0,0.314
Chad,2001,Developing,48.0,4.0,42,0.3,26.87439074,0.0,24908,14.1,75,26.0,6.9,26.0,4.8,197.3156442,866312.0,0.3
Chile,2001,Developing,77.3,16.0,2,6.1,687.5116825,0.0,0,54.7,3,96.0,6.51,97.0,0.1,4595.666327,15444969.0,0.761
China,2001,Developing,72.2,11.0,457,2.84,14.23064496,65.0,88962,21.2,558,86.0,4.56,86.0,0.1,153.1824,127185.0,0.592
Colombia,2001,Developing,71.5,165.0,17,4.43,404.4205858,8.0,3,47.5,21,83.0,5.96,8.0,0.1,2395.856551,498899.0,0.653
Comoros,2001,Developing,59.5,272.0,1,0.08,19.71741043,0.0,0,17.6,2,7.0,2.86,7.0,0.1,395.9319363,555888.0,0.0
Congo,2001,Developing,52.7,419.0,9,2.3,0.0,0.0,2152,19.8,14,32.0,2.44,31.0,7.6,0.0,0.0,0.487
Costa Rica,2001,Developing,77.5,1.0,1,4.29,868.3713593,8.0,0,46.4,1,92.0,7.25,91.0,0.1,3981.52847,3996798.0,0.708
Croatia,2001,Developed,74.9,126.0,0,13.15,650.9567981,0.0,8,55.2,0,94.0,7.16,94.0,0.1,5245.421419,444.0,0.749
Cuba,2001,Developing,76.7,115.0,1,4.04,322.5863149,98.0,0,5.4,1,99.0,6.27,98.0,0.1,2832.188893,0.0,0.686
Cyprus,2001,Developed,78.2,69.0,0,10.16,100.8086193,89.0,0,53.3,0,97.0,5.78,97.0,0.1,1562.92433,96282.0,0.8
Czechia,2001,Developed,75.1,123.0,0,13.36,0.0,0.0,6,59.4,0,97.0,6.42,98.0,0.1,0.0,0.0,0.0
Democratic People's Republic of Korea,2001,Developing,66.6,177.0,16,2.53,0.0,0.0,0,25.7,21,98.0,0.0,62.0,0.1,0.0,0.0,0.0
Democratic Republic of the Congo,2001,Developing,51.8,34.0,227,1.9,0.0,0.0,8072,15.3,332,3.0,2.67,3.0,2.4,0.0,0.0,0.0
Denmark,2001,Developed,77.0,12.0,0,11.56,530.4832336,0.0,11,52.8,0,97.0,9.1,97.0,0.1,3751.64946,5358783.0,0.862
Djibouti,2001,Developing,57.7,323.0,2,0.95,92.4978948,0.0,79,28.6,2,49.0,5.37,53.0,4.3,781.2322196,732711.0,0.363
Dominican Republic,2001,Developing,71.2,188.0,7,6.13,340.0239945,66.0,113,44.1,9,71.0,5.59,72.0,2.5,2862.154836,8697126.0,0.656
Ecuador,2001,Developing,73.4,158.0,9,4.13,14.5887403,69.0,2,44.3,10,9.0,3.86,89.0,0.3,193.741571,12852755.0,0.67
Egypt,2001,Developing,68.6,177.0,63,0.14,0.0,99.0,2150,51.2,78,99.0,5.75,99.0,0.1,0.0,0.0,0.612
El Salvador,2001,Developing,68.9,219.0,4,2.88,332.1056586,75.0,2,46.2,4,94.0,8.2,92.0,0.4,2338.772244,595962.0,0.615
Equatorial Guinea,2001,Developing,53.1,334.0,3,5.07,197.7839552,0.0,1339,18.7,4,43.0,1.78,35.0,2.3,2283.87939,639762.0,0.527
Eritrea,2001,Developing,58.1,345.0,7,0.61,5.593619538,0.0,204,12.8,10,89.0,3.95,86.0,2.0,215.139213,3497124.0,0.0
Estonia,2001,Developing,78.0,225.0,0,0.01,88.62945822,0.0,0,54.3,0,94.0,4.85,94.0,0.1,4498.95727,1388115.0,0.781
Ethiopia,2001,Developing,52.5,372.0,246,0.85,1.186227577,0.0,2366,12.6,392,55.0,4.26,32.0,4.9,12.1789279,68492257.0,0.283
Fiji,2001,Developing,67.8,221.0,0,1.93,20.7119129,98.0,17,51.2,0,92.0,3.28,91.0,0.1,238.891729,814218.0,0.683
Finland,2001,Developing,78.0,1.0,0,8.94,2775.33544,0.0,1,56.1,0,95.0,7.43,98.0,0.1,24913.24452,51888.0,0.856
France,2001,Developing,79.0,13.0,3,13.89,3451.185079,28.0,0,55.2,4,98.0,9.89,97.0,0.1,22527.31775,61357431.0,0.849
Gabon,2001,Developing,59.8,37.0,2,9.29,183.6980778,0.0,5129,28.7,3,44.0,3.23,45.0,10.1,3976.14887,1262259.0,0.633
Gambia,2001,Developing,56.3,3.0,3,2.25,0.0,91.0,99,18.5,6,85.0,3.71,87.0,2.3,0.0,0.0,0.384
Georgia,2001,Developing,73.0,121.0,2,2.76,57.10318825,61.0,35,46.5,2,83.0,7.82,87.0,0.1,733.974142,43864.0,0.673
Germany,2001,Developed,78.3,92.0,3,12.46,4057.637383,86.0,6024,55.6,4,96.0,1.15,93.0,0.1,23687.31689,82349925.0,0.86
Ghana,2001,Developing,57.4,39.0,42,1.49,25.55981288,0.0,13476,2.1,64,81.0,3.56,79.0,3.5,273.6596668,1942165.0,0.485
Greece,2001,Developing,78.7,83.0,1,8.62,1403.022211,9.0,12,58.0,1,9.0,8.47,91.0,0.1,12538.17883,1862132.0,0.801
Grenada,2001,Developing,77.0,178.0,0,9.61,81.11355954,96.0,0,38.2,0,96.0,7.67,96.0,0.1,519.958715,0.0,0.0
Guatemala,2001,Developing,68.4,211.0,16,2.53,225.0619956,0.0,0,41.1,20,78.0,6.76,77.0,0.3,1568.376276,11924946.0,0.546
Guinea,2001,Developing,52.5,336.0,36,0.17,19.89790929,0.0,7408,16.9,58,52.0,3.65,5.0,3.0,315.83983,8971139.0,0.322
Guinea-Bissau,2001,Developing,52.5,32.0,5,2.55,0.868708478,0.0,126,17.9,9,56.0,5.4,53.0,3.6,39.486749,1267512.0,0.0
Guyana,2001,Developing,65.4,247.0,1,6.71,15.54978677,85.0,0,36.4,1,9.0,5.82,85.0,1.7,925.582546,752263.0,0.606
Haiti,2001,Developing,58.9,35.0,19,6.22,60.77815868,0.0,159,34.8,27,52.0,5.63,45.0,5.0,413.7383164,8692567.0,0.443
Honduras,2001,Developing,71.3,171.0,6,2.74,15.36175284,95.0,0,39.6,8,99.0,6.88,96.0,1.6,113.4546,669361.0,0.557
Hungary,2001,Developed,72.3,185.0,1,13.18,7.601092416,0.0,20,56.6,1,99.0,7.11,99.0,0.1,527.85364,1187576.0,0.769
Iceland,2001,Developed,80.0,72.0,0,6.37,5048.274426,0.0,0,54.8,0,92.0,9.12,92.0,0.1,28585.9254,284968.0,0.854
India,2001,Developing,62.9,222.0,1800,1.0,19.00340606,0.0,51780,11.8,2400,58.0,4.5,59.0,0.3,447.138966,171477855.0,0.494
Indonesia,2001,Developing,66.5,188.0,182,0.06,33.95837125,62.0,3825,16.0,229,77.0,2.23,76.0,0.1,747.9817455,2145652.0,0.604
Iran (Islamic Republic of),2001,Developing,78.0,146.0,33,0.01,0.0,94.0,9582,45.5,40,95.0,5.2,96.0,0.1,0.0,0.0,0.666
Iraq,2001,Developing,72.0,142.0,30,0.17,0.0,66.0,4088,5.1,37,8.0,0.0,78.0,0.1,0.0,24251649.0,0.607
Ireland,2001,Developed,77.0,89.0,0,14.27,4264.579203,0.0,241,52.2,0,84.0,6.6,84.0,0.1,28223.55528,3866243.0,0.857
Israel,2001,Developing,79.3,74.0,1,2.53,22.27332618,96.0,19,58.7,1,93.0,7.61,92.0,0.1,236.19646,6439.0,0.85
Italy,2001,Developed,79.8,75.0,2,9.69,3.1222302,95.0,0,55.7,3,96.0,8.11,93.0,0.1,24.819,569741.0,0.828
Jamaica,2001,Developing,72.7,171.0,1,3.89,160.2382416,0.0,0,42.5,1,99.0,5.34,99.0,2.2,3394.878,267711.0,0.68
Japan,2001,Developed,81.5,72.0,4,8.03,5486.51208,0.0,22552,22.5,5,81.0,7.75,95.0,0.1,33846.46564,127149.0,0.856
Jordan,2001,Developing,71.9,131.0,4,0.55,248.697463,97.0,61,54.8,4,97.0,9.9,99.0,0.1,1728.2659,5193482.0,0.706
Kazakhstan,2001,Developing,64.4,284.0,8,5.75,12.60883976,95.0,94,44.4,10,95.0,3.47,95.0,0.1,149.926751,14858335.0,0.685
Kenya,2001,Developing,51.9,434.0,77,1.63,3.847602867,0.0,11304,14.7,120,77.0,4.62,8.0,16.9,41.7763612,32321482.0,0.447
Kiribati,2001,Developing,64.3,219.0,0,0.6,59.97185848,85.0,0,68.8,0,88.0,9.0,85.0,0.1,734.9492461,85858.0,0.0
Kuwait,2001,Developing,73.2,95.0,0,0.01,113.1997845,99.0,0,64.5,1,99.0,3.61,99.0,0.1,1654.96761,0.0,0.786
Kyrgyzstan,2001,Developing,67.2,217.0,4,2.62,0.0,57.0,17,36.0,5,99.0,4.79,99.0,0.1,0.0,0.0,0.593
Lao People's Democratic Republic,2001,Developing,58.7,271.0,13,3.13,0.0,0.0,94,12.7,19,55.0,4.32,52.0,0.1,0.0,0.0,0.463
Latvia,2001,Developed,69.9,228.0,0,6.68,332.2751709,96.0,1,55.7,0,97.0,6.17,97.0,0.1,3572.8513,233717.0,0.728
Lebanon,2001,Developing,73.0,11.0,1,2.19,510.6035166,8.0,8,58.6,1,8.0,1.9,8.0,0.1,5253.122599,3359859.0,0.0
Lesotho,2001,Developing,47.8,586.0,5,2.86,38.57187011,0.0,217,25.4,7,78.0,7.53,78.0,31.2,437.819184,1885955.0,0.443
Liberia,2001,Developing,51.5,333.0,14,4.4,16.72142854,0.0,1379,2.4,20,54.0,6.41,42.0,3.1,174.1815473,2991132.0,0.386
Libya,2001,Developing,71.0,147.0,3,0.01,362.3817951,93.0,633,53.4,3,94.0,4.6,94.0,0.1,6269.58123,0.0,0.732
Lithuania,2001,Developed,71.2,21.0,0,10.2,42.87208671,95.0,7,57.2,0,97.0,6.26,95.0,0.1,353.147337,347818.0,0.757
Luxembourg,2001,Developed,78.0,96.0,0,12.89,7877.33656,86.0,0,54.6,0,99.0,7.4,99.0,0.1,48179.4285,441525.0,0.854
Madagascar,2001,Developing,58.7,276.0,42,1.05,42.56331585,0.0,9357,14.3,65,6.0,5.17,6.0,0.7,278.555732,1626932.0,0.456
Malawi,2001,Developing,43.5,599.0,48,1.15,12.79760626,0.0,150,14.4,80,86.0,5.7,9.0,25.1,146.7615397,11695863.0,0.387
Malaysia,2001,Developing,72.7,144.0,4,0.53,210.2417002,95.0,2198,27.0,5,95.0,3.4,96.0,0.1,3915.11546,2369897.0,0.725
Maldives,2001,Developing,78.0,129.0,0,1.98,41.30688803,98.0,0,15.6,0,97.0,5.84,98.0,0.1,298.67598,292.0,0.587
Mali,2001,Developing,55.0,34.0,60,0.51,4.395885717,0.0,4464,16.1,110,56.0,6.39,49.0,2.4,36.8473237,11293258.0,0.297
Malta,2001,Developed,77.8,79.0,0,5.62,130.0150391,0.0,2,62.8,0,95.0,7.11,95.0,0.1,1121.78636,39328.0,0.783
Mauritania,2001,Developing,61.0,229.0,7,0.01,28.782245,0.0,1398,21.7,12,75.0,4.34,75.0,1.2,464.229758,279729.0,0.444
Mauritius,2001,Developing,71.5,177.0,0,4.38,70.15536981,92.0,0,25.8,0,93.0,3.87,92.0,0.1,3792.182152,1196287.0,0.673
Mexico,2001,Developing,75.0,126.0,52,4.86,13.31109532,97.0,3,53.2,62,97.0,5.35,97.0,0.1,731.378864,136768.0,0.7
Micronesia (Federated States of),2001,Developing,67.2,183.0,0,2.82,0.0,81.0,0,62.0,0,79.0,8.58,75.0,0.1,0.0,0.0,0.604
Mongolia,2001,Developing,63.2,266.0,2,2.87,61.84921903,95.0,10677,39.1,3,95.0,5.45,95.0,0.1,524.145924,2419776.0,0.588
Montenegro,2001,Developing,73.3,136.0,0,0.01,33.66981355,0.0,0,52.7,0,0.0,8.23,0.0,0.1,199.583957,67389.0,0.0
Morocco,2001,Developing,69.0,155.0,26,0.46,71.11645,84.0,2724,45.7,30,93.0,4.44,96.0,0.1,1336.775376,29181832.0,0.53
Mozambique,2001,Developing,49.5,48.0,90,2.09,37.82511936,25.0,7085,16.9,132,72.0,5.64,73.0,13.4,256.4414872,18588758.0,0.298
Myanmar,2001,Developing,62.5,239.0,72,0.38,1.917164,0.0,2519,14.1,98,77.0,1.8,73.0,0.4,138.9249275,46627994.0,0.427
Namibia,2001,Developing,56.5,426.0,3,5.09,205.8078833,0.0,416,25.1,4,79.0,6.18,78.0,23.9,1834.29486,1933596.0,0.556
Nepal,2001,Developing,63.2,23.0,43,0.09,21.92813881,0.0,10849,11.9,58,73.0,5.36,72.0,0.1,248.6183539,24161777.0,0.446
Netherlands,2001,Developed,78.3,82.0,1,9.95,3054.515582,0.0,0,52.6,1,97.0,7.79,97.0,0.1,26584.12169,164618.0,0.878
New Zealand,2001,Developed,78.5,83.0,0,8.75,2205.98595,9.0,65,59.6,0,82.0,7.58,9.0,0.1,13882.85683,0.0,0.868
Nicaragua,2001,Developing,73.0,193.0,4,3.51,22.35595448,87.0,0,43.5,5,89.0,5.26,87.0,0.4,143.6758,5175.0,0.57
Niger,2001,Developing,56.0,283.0,57,0.11,1.817829717,0.0,61208,13.9,127,42.0,7.1,36.0,1.6,165.257247,11771976.0,0.255
Nigeria,2001,Developing,47.4,48.0,574,9.58,15.830985,0.0,168107,17.3,936,36.0,3.25,27.0,5.1,351.7996666,125463434.0,0.0
Norway,2001,Developed,78.8,82.0,0,5.49,6356.827282,0.0,4,54.0,0,91.0,8.65,91.0,0.1,38549.58934,4513751.0,0.917
Oman,2001,Developing,72.9,134.0,1,0.55,564.5425663,99.0,15,46.5,1,99.0,3.8,99.0,0.1,8476.61511,0.0,0.705
