Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population,Income composition of resources
Afghanistan,2007,Developing,57.5,295.0,82,0.02,10.91015598,63.0,1141,15.2,113,63.0,6.73,63.0,0.1,369.835796,26616792.0,0.415
Albania,2007,Developing,75.9,9.0,1,5.58,32.24655228,98.0,22,51.7,1,99.0,6.1,98.0,0.1,363.13685,29717.0,0.703
Algeria,2007,Developing,73.8,129.0,20,0.44,320.3239241,9.0,0,5.8,23,95.0,3.82,95.0,0.1,3935.183343,34376.0,0.69
Angola,2007,Developing,48.2,375.0,87,6.35,184.8213446,73.0,1014,18.8,138,75.0,3.38,73.0,2.6,2878.837144,2997687.0,0.454
Antigua and Barbuda,2007,Developing,75.0,144.0,0,8.64,257.9665308,97.0,0,42.6,0,98.0,4.27,99.0,0.1,14252.29452,0.0,0.781
Argentina,2007,Developing,74.8,129.0,10,8.16,1105.659031,85.0,0,58.0,12,92.0,6.49,91.0,0.1,7193.61764,3997224.0,0.788
Armenia,2007,Developing,73.5,132.0,1,3.99,44.57219966,85.0,1,49.7,1,9.0,4.31,88.0,0.1,3138.8873,293356.0,0.707
Australia,2007,Developed,81.3,66.0,1,10.56,872.5986092,94.0,11,62.5,2,92.0,8.53,92.0,0.1,4991.98289,28276.0,0.918
Austria,2007,Developed,81.0,8.0,0,12.5,7453.8644,85.0,20,53.7,0,85.0,1.4,85.0,0.1,46586.6525,8295487.0,0.86
Azerbaijan,2007,Developing,73.0,14.0,6,1.02,176.0107106,62.0,0,45.9,7,81.0,5.1,79.0,0.1,3851.437869,85813.0,0.708
Bahamas,2007,Developing,74.4,167.0,0,10.75,0.0,93.0,0,59.4,0,95.0,7.8,95.0,0.1,0.0,0.0,0.79
Bahrain,2007,Developing,75.6,77.0,0,2.0,278.3602806,97.0,7,57.6,0,97.0,3.8,97.0,0.1,2977.1153,0.0,0.813
Bangladesh,2007,Developing,68.6,151.0,154,0.01,46.36536703,95.0,2924,13.5,201,96.0,2.8,94.0,0.1,541.651484,147139191.0,0.513
Barbados,2007,Developing,74.2,113.0,0,8.47,1641.30981,93.0,0,48.4,0,93.0,5.64,93.0,0.1,16462.48556,0.0,0.771
Belarus,2007,Developing,69.8,226.0,1,14.22,464.077513,91.0,1,57.7,1,9.0,6.44,95.0,0.1,4735.484827,956953.0,0.739
Belgium,2007,Developed,79.5,86.0,0,10.25,640.3560918,94.0,64,6.9,1,99.0,9.25,98.0,0.1,4443.83131,16257.0,0.871
Belize,2007,Developing,69.6,181.0,0,7.24,69.63051047,96.0,0,45.0,0,97.0,4.76,96.0,0.6,4324.876427,29847.0,0.7
Benin,2007,Developing,57.1,283.0,25,1.12,7.49281752,82.0,341,21.5,39,82.0,4.55,82.0,2.0,76.535419,8454791.0,0.438
Bhutan,2007,Developing,66.5,238.0,1,0.16,283.806236,95.0,11,18.0,1,93.0,5.88,95.0,0.3,1741.142552,686958.0,0.0
Bolivia (Plurinational State of),2007,Developing,66.8,216.0,11,3.47,0.0,84.0,0,47.3,14,85.0,4.96,84.0,0.2,0.0,0.0,0.626
Bosnia and Herzegovina,2007,Developing,75.4,16.0,0,5.16,8.240355867,94.0,166,51.5,0,95.0,8.37,95.0,0.1,418.292176,3774.0,0.703
Botswana,2007,Developing,56.9,436.0,2,6.21,512.5887995,93.0,1,33.7,3,96.0,4.71,96.0,13.4,5714.47937,1914414.0,0.63
Brazil,2007,Developing,73.3,159.0,65,7.19,394.9321299,99.0,0,49.4,73,99.0,8.28,99.0,0.1,7313.557962,19126637.0,0.7
Brunei Darussalam,2007,Developing,76.0,1.0,0,0.85,2048.557422,97.0,0,33.2,0,95.0,2.32,99.0,0.1,32672.36717,0.0,0.84
Bulgaria,2007,Developed,72.6,157.0,1,10.89,591.5100978,95.0,1,6.9,1,95.0,6.41,95.0,0.1,5932.899677,7545338.0,0.755
Burkina Faso,2007,Developing,55.3,293.0,46,4.58,73.92730583,89.0,12,15.1,83,93.0,6.63,89.0,1.7,475.11122,1425221.0,0.334
Burundi,2007,Developing,54.8,355.0,24,4.54,1.72659515,99.0,43,14.8,36,93.0,1.3,99.0,3.4,17.79995,7939573.0,0.309
Côte d'Ivoire,2007,Developing,49.9,443.0,61,2.58,0.0,76.0,5,23.2,87,75.0,6.35,76.0,5.3,0.0,0.0,0.0
Cabo Verde,2007,Developing,72.3,126.0,0,5.28,345.463714,96.0,0,25.5,0,98.0,4.3,98.0,0.6,3112.285712,486438.0,0.602
Cambodia,2007,Developing,65.0,24.0,16,2.08,57.73516711,82.0,394,14.8,20,82.0,3.75,82.0,0.9,631.675789,13676693.0,0.495
Cameroon,2007,Developing,53.6,395.0,57,5.44,7.562892922,82.0,100,24.4,89,81.0,4.76,82.0,7.0,111.71186,18395389.0,0.456
Canada,2007,Developing,85.0,74.0,2,8.3,7946.743581,14.0,101,62.5,2,9.0,9.83,94.0,0.1,44544.5268,32887928.0,0.894
Central African Republic,2007,Developing,46.8,495.0,17,1.5,60.04884821,0.0,49,19.0,26,46.0,4.4,48.0,9.0,397.148467,42758.0,0.33
Chad,2007,Developing,49.4,394.0,46,0.42,5.962923532,0.0,441,16.1,80,38.0,3.35,28.0,4.9,81.683884,177578.0,0.306
Chile,2007,Developing,78.9,9.0,2,7.39,209.4875875,92.0,0,58.7,2,95.0,6.35,96.0,0.1,1526.87746,16491687.0,0.797
China,2007,Developing,74.4,96.0,285,3.88,312.6624819,92.0,109023,25.7,332,94.0,4.32,93.0,0.1,2695.366223,1317885.0,0.659
Colombia,2007,Developing,73.5,144.0,14,4.66,780.5946749,93.0,0,52.0,17,93.0,6.25,93.0,0.1,4674.21961,44374572.0,0.675
Comoros,2007,Developing,66.0,259.0,2,0.16,9.087638194,75.0,0,2.1,2,75.0,4.93,75.0,0.1,72.759313,64162.0,0.459
Congo,2007,Developing,58.2,354.0,8,2.75,0.0,64.0,84,22.8,11,71.0,2.54,72.0,5.0,0.0,0.0,0.517
Costa Rica,2007,Developing,78.9,93.0,1,4.2,150.8891479,89.0,0,52.4,1,89.0,8.37,89.0,0.1,612.623418,4369469.0,0.734
Croatia,2007,Developed,75.8,114.0,0,12.56,2019.812779,95.0,0,58.7,0,96.0,7.44,96.0,0.1,13546.69872,4436.0,0.793
Cuba,2007,Developing,78.1,14.0,1,4.13,750.7147641,93.0,0,55.4,1,99.0,1.42,93.0,0.1,5184.494227,0.0,0.754
Cyprus,2007,Developed,78.9,63.0,0,11.56,1958.525877,93.0,0,56.3,0,97.0,6.5,97.0,0.1,31386.63265,163712.0,0.836
Czechia,2007,Developed,76.8,17.0,0,13.43,0.0,99.0,2,62.2,0,99.0,6.52,99.0,0.1,0.0,0.0,0.0
Democratic People's Republic of Korea,2007,Developing,68.5,166.0,9,3.13,0.0,92.0,3550,28.7,12,99.0,0.0,92.0,0.1,0.0,0.0,0.0
Democratic Republic of the Congo,2007,Developing,55.7,299.0,236,1.52,0.0,7.0,55577,17.8,326,72.0,3.61,7.0,1.9,0.0,0.0,0.0
Denmark,2007,Developed,78.4,93.0,0,10.99,9703.068121,0.0,2,55.9,0,87.0,9.99,87.0,0.1,58487.451,5461438.0,0.904
Djibouti,2007,Developing,59.8,296.0,1,0.45,20.86878709,25.0,24,3.9,2,88.0,7.72,88.0,3.5,147.586896,8942.0,0.416
Dominican Republic,2007,Developing,72.9,164.0,6,6.05,74.8217488,81.0,0,5.4,8,86.0,4.34,85.0,1.6,4647.31359,954353.0,0.685
