Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population,Income composition of resources
Afghanistan,2005,Developing,57.3,291.0,85,0.02,1.388647732,66.0,1296,14.2,118,58.0,8.7,58.0,0.1,25.2941299,257798.0,0.396
Albania,2005,Developing,73.5,15.0,1,5.16,26.99312143,98.0,6,49.9,1,97.0,6.12,98.0,0.1,279.142931,311487.0,0.685
Algeria,2005,Developing,72.9,136.0,19,0.5,2.548922758,83.0,2302,48.9,22,88.0,3.24,88.0,0.1,31.122378,33288437.0,0.68
Angola,2005,Developing,47.4,382.0,92,5.04,98.19145117,80.94046121593291,258,17.7,148,39.0,4.1,38.0,2.6,1443.991929,19552542.0,0.426
Antigua and Barbuda,2005,Developing,74.6,147.0,0,8.15,1455.608186,99.0,0,41.4,0,98.0,4.41,99.0,0.1,11371.93895,12753375.120052494,0.0
Argentina,2005,Developing,74.9,127.0,11,7.53,96.16653429,88.0,0,56.9,12,95.0,6.85,98.0,0.1,576.883829,39145488.0,0.78
Armenia,2005,Developing,73.0,137.0,1,4.25,20.21822828,91.0,2281,48.8,1,92.0,5.25,9.0,0.1,1643.758397,2981259.0,0.679
Australia,2005,Developed,81.0,67.0,1,10.3,579.1331637,95.0,10,61.5,2,92.0,8.45,92.0,0.1,3416.71483,23948.0,0.91
Austria,2005,Developed,79.4,85.0,0,12.4,5992.588029,86.0,9,52.7,0,86.0,1.53,86.0,0.1,38242.4252,8227829.0,0.848
Azerbaijan,2005,Developing,68.4,162.0,6,0.73,81.28883085,49.0,1238,44.7,7,79.0,7.86,75.0,0.1,1578.4239,839185.0,0.675
Bahamas,2005,Developing,74.1,172.0,0,10.49,0.0,93.0,0,58.1,0,93.0,5.95,93.0,0.1,7483.158469138474,12753375.120052494,0.786
Bahrain,2005,Developing,75.3,81.0,0,2.05,1553.468944,98.0,4,56.1,0,98.0,3.16,98.0,0.1,17959.17854,12753375.120052494,0.806
Bangladesh,2005,Developing,67.8,155.0,174,0.01,38.05462002,45.0,25934,12.5,231,94.0,2.68,93.0,0.1,484.155471,14343111.0,0.499
Barbados,2005,Developing,73.9,117.0,0,8.01,1311.440423,92.0,0,46.9,0,91.0,5.38,92.0,0.1,14223.86576,12753375.120052494,0.761
Belarus,2005,Developing,68.1,252.0,1,11.01,45.65007798,99.0,1,56.7,1,98.0,6.89,99.0,0.1,3126.71767,9663915.0,0.713
Belgium,2005,Developed,78.9,89.0,0,12.27,5068.214488,77.0,26,6.2,1,97.0,9.24,97.0,0.1,36967.28292,1478617.0,0.861
Belize,2005,Developing,69.0,191.0,0,6.25,365.799896,96.0,0,43.8,0,96.0,4.45,96.0,0.8,3933.332215,283277.0,0.695
Benin,2005,Developing,56.5,285.0,25,1.13,7.106997355,7.0,210,2.5,39,73.0,4.73,7.0,2.1,61.799977,7982225.0,0.43
Bhutan,2005,Developing,65.0,254.0,1,0.73,145.5965445,95.0,11,16.7,1,95.0,5.28,95.0,0.3,1247.61392,656639.0,0.0
Bolivia (Plurinational State of),2005,Developing,65.7,222.0,12,2.86,0.0,85.0,0,46.0,16,84.0,5.67,85.0,0.2,7483.158469138474,12753375.120052494,0.622
Bosnia and Herzegovina,2005,Developing,75.0,12.0,0,4.56,45.71354264,93.0,23,5.5,0,95.0,8.5,93.0,0.1,2968.41186,378153.0,0.0
Botswana,2005,Developing,51.7,566.0,2,6.37,629.8425643,92.0,5,32.7,3,96.0,5.62,96.0,20.6,5351.253732,1855852.0,0.593
Brazil,2005,Developing,72.7,163.0,75,6.97,23.76370075,98.0,6,47.8,85,99.0,8.27,99.0,0.1,477.182746,186917361.0,0.694
Brunei Darussalam,2005,Developing,76.2,92.0,0,0.16,179.7147814,99.0,9,31.2,0,93.0,2.62,94.0,0.1,2612.13345,12753375.120052494,0.834
Bulgaria,2005,Developed,72.1,16.0,1,10.48,456.3404657,96.0,3,59.7,1,97.0,7.8,96.0,0.1,3893.68998,7658972.0,0.745
Burkina Faso,2005,Developing,53.3,313.0,48,4.88,8.769989329,80.94046121593291,253,14.2,89,94.0,6.87,82.0,2.3,46.998871,1342193.0,0.0
Burundi,2005,Developing,53.4,369.0,24,5.54,1.747440948,87.0,0,14.1,37,82.0,9.84,87.0,4.3,15.57434,7423289.0,0.286
Côte d'Ivoire,2005,Developing,48.7,466.0,63,3.11,0.0,76.0,115,22.1,90,87.0,5.39,76.0,6.1,7483.158469138474,12753375.120052494,0.6275510645976182
Cabo Verde,2005,Developing,71.8,134.0,0,4.26,3.349816965,93.0,0,24.3,0,95.0,4.86,95.0,0.8,248.13459,474567.0,0.582
Cambodia,2005,Developing,62.9,234.0,18,1.99,62.21817261,80.94046121593291,264,13.9,22,82.0,5.84,82.0,1.4,474.2238766,132721.0,0.47
Cameroon,2005,Developing,52.8,4.0,58,5.03,73.03276195,79.0,605,23.3,93,79.0,4.75,8.0,7.4,952.1872484,1742795.0,0.456
Canada,2005,Developing,81.0,76.0,2,8.0,6333.177967,14.0,6,61.3,2,93.0,9.57,93.0,0.1,36189.58838,32312.0,0.886
Central African Republic,2005,Developing,45.9,511.0,17,1.5,40.92207976,80.94046121593291,471,18.2,26,47.0,4.29,54.0,11.2,327.1149461,412791.0,0.319
Chad,2005,Developing,48.6,46.0,45,0.42,8.936064632,80.94046121593291,2,15.4,79,37.0,3.91,25.0,5.2,66.2421396,1679.0,0.306
Chile,2005,Developing,78.4,93.0,2,7.57,954.9644887,80.94046121593291,0,57.4,2,92.0,6.69,91.0,0.1,7615.3468,1614764.0,0.79
China,2005,Developing,73.9,99.0,332,2.92,171.6596026,84.0,124219,24.1,392,87.0,4.66,87.0,0.1,1753.4178,13372.0,0.634
Colombia,2005,Developing,73.1,144.0,15,4.38,531.9808176,93.0,0,5.5,18,93.0,5.82,93.0,0.1,3386.256,43285634.0,0.658
Comoros,2005,Developing,60.0,266.0,2,0.24,69.9675435,68.0,912,19.2,2,67.0,4.32,68.0,0.1,621.93372,611627.0,0.434
Congo,2005,Developing,55.3,394.0,8,2.03,0.0,80.94046121593291,146,21.7,13,62.0,2.42,62.0,5.9,7483.158469138474,12753375.120052494,0.496
Costa Rica,2005,Developing,78.6,97.0,1,4.1,1002.833273,9.0,1,5.3,1,91.0,7.74,91.0,0.1,4697.11135,4247841.0,0.723
Croatia,2005,Developed,75.2,116.0,0,11.59,167.2319899,80.94046121593291,2,57.5,0,96.0,6.89,96.0,0.1,1224.2459,4442.0,0.777
Cuba,2005,Developing,77.2,19.0,1,4.48,518.9359221,95.0,0,53.8,1,99.0,9.39,89.0,0.1,3779.577,12753375.120052494,0.719
Cyprus,2005,Developed,78.7,65.0,0,11.41,1562.520827,88.0,1,55.3,0,98.0,6.37,98.0,0.1,25324.48666,127658.0,0.826
Czechia,2005,Developed,75.9,114.0,0,13.19,0.0,99.0,0,61.3,0,96.0,6.93,97.0,0.1,7483.158469138474,12753375.120052494,0.6275510645976182
Democratic People's Republic of Korea,2005,Developing,68.5,165.0,10,3.21,0.0,92.0,0,27.7,13,97.0,5.9381895280235995,79.0,0.1,7483.158469138474,12753375.120052494,0.6275510645976182
Democratic Republic of the Congo,2005,Developing,54.3,314.0,233,1.43,0.0,80.94046121593291,182485,16.9,329,6.0,3.14,6.0,2.0,7483.158469138474,12753375.120052494,0.6275510645976182
Denmark,2005,Developed,78.1,92.0,0,11.28,7627.412444,80.94046121593291,2,55.0,0,93.0,9.77,93.0,0.1,48799.8237,5419432.0,0.897
Djibouti,2005,Developing,58.6,318.0,2,1.23,12.70325933,80.94046121593291,298,3.2,2,71.0,7.21,71.0,3.9,94.7297489,783254.0,0.396
Dominican Republic,2005,Developing,69.7,28.0,7,5.71,289.7418649,87.0,0,48.2,8,86.0,4.26,87.0,2.0,3681.5993,9237566.0,0.668
Ecuador,2005,Developing,74.2,151.0,8,3.54,18.09317114,92.0,0,47.2,9,89.0,5.87,92.0,0.3,321.942547,13735233.0,0.688
Egypt,2005,Developing,69.4,174.0,56,0.16,0.0,98.0,77,53.5,68,98.0,5.6,98.0,0.1,7483.158469138474,12753375.120052494,0.629
El Salvador,2005,Developing,71.0,213.0,3,2.77,440.6027042,89.0,0,49.4,3,89.0,7.19,89.0,0.2,2835.281237,628961.0,0.644
Equatorial Guinea,2005,Developing,54.4,337.0,3,7.19,12.0661671,80.94046121593291,0,2.2,4,5.0,1.63,39.0,4.9,185.63334,757317.0,0.563
Eritrea,2005,Developing,59.4,34.0,7,1.07,5.064688968,96.0,19,13.9,9,96.0,2.97,96.0,1.6,276.75896,39697.0,0.0
Estonia,2005,Developing,72.8,189.0,0,15.52,153.5045263,95.0,2,55.5,0,96.0,5.2,96.0,0.1,1338.31322,1354775.0,0.812
Ethiopia,2005,Developing,56.0,343.0,206,0.99,18.03753133,80.94046121593291,357,13.8,323,56.0,4.2,44.0,3.7,161.6266248,7672783.0,0.325
Fiji,2005,Developing,68.3,214.0,0,2.02,64.39203443,99.0,0,55.1,0,97.0,3.61,96.0,0.1,3658.63832,821817.0,0.699
Finland,2005,Developing,78.9,11.0,0,9.95,4816.589613,80.94046121593291,1,58.1,0,97.0,8.43,97.0,0.1,38969.17163,524696.0,0.864
France,2005,Developing,81.0,93.0,3,12.2,5451.701225,35.0,36,57.5,4,98.0,1.6,98.0,0.1,34879.72633,63179356.0,0.86
Gabon,2005,Developing,65.0,37.0,2,7.72,353.2438029,28.0,0,3.8,3,44.0,2.76,45.0,10.9,6741.293948,143126.0,0.64
Gambia,2005,Developing,57.7,294.0,3,2.26,0.0,95.0,0,2.9,6,94.0,4.97,95.0,3.0,7483.158469138474,12753375.120052494,0.412
Georgia,2005,Developing,73.9,128.0,1,4.7,9.444875415,79.0,1356,48.6,1,82.0,8.6,82.0,0.1,153.57521,419.0,0.703
Germany,2005,Developed,79.2,85.0,3,11.67,6012.92584,9.0,778,57.6,3,95.0,1.52,96.0,0.1,34696.6292,82469422.0,0.884
Ghana,2005,Developing,58.9,296.0,41,1.5,78.71123825,84.0,435,22.4,62,85.0,4.51,84.0,3.1,498.172394,215429.0,0.499
