Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population,Income composition of resources
Afghanistan,2002,Developing,56.2,3.0,88,0.01,16.88735091,64.0,2486,13.0,122,36.0,7.76,36.0,0.1,187.84595,21979923.0,0.341
Albania,2002,Developing,73.3,15.0,1,3.73,104.5169157,96.0,16,46.9,1,98.0,6.3,98.0,0.1,1453.642777,3511.0,0.67
Algeria,2002,Developing,71.6,145.0,20,0.36,148.5119843,80.94046121593291,5862,46.1,23,86.0,3.73,86.0,0.1,1774.33673,3199546.0,0.653
Angola,2002,Developing,46.5,391.0,96,2.82,24.037942,80.94046121593291,11945,16.3,157,37.0,3.63,41.0,2.3,711.181716,17572649.0,0.401
Antigua and Barbuda,2002,Developing,74.0,153.0,0,7.21,927.4075855,99.0,0,39.5,0,93.0,4.41,98.0,0.1,9386.716452,12753375.120052494,0.0
Argentina,2002,Developing,74.1,138.0,12,7.81,470.1869145,66.0,0,55.1,13,94.0,8.31,93.0,0.1,2579.193168,3788937.0,0.776
Armenia,2002,Developing,72.6,134.0,1,2.86,57.17810403,91.0,40,47.8,1,96.0,5.4,94.0,0.1,783.261699,333897.0,0.645
Australia,2002,Developed,79.9,73.0,1,9.84,46.3871819,95.0,32,59.6,2,92.0,8.39,92.0,0.1,281.81763,196514.0,0.902
Austria,2002,Developed,78.7,9.0,0,12.5,3979.057728,81.0,0,51.2,0,82.0,1.27,83.0,0.1,26351.37568,881957.0,0.847
Azerbaijan,2002,Developing,67.8,146.0,7,0.55,39.33253687,5.0,4353,43.1,9,8.0,4.47,76.0,0.1,763.73858,817195.0,0.651
Bahamas,2002,Developing,73.1,19.0,0,10.85,0.0,89.0,0,56.0,0,93.0,5.26,94.0,0.1,7483.158469138474,12753375.120052494,0.781
Bahrain,2002,Developing,74.9,87.0,0,1.99,106.4303336,98.0,8,55.0,0,98.0,3.89,98.0,0.1,1312.33457,12753375.120052494,0.796
Bangladesh,2002,Developing,66.3,164.0,207,0.01,0.397228764,80.94046121593291,3484,11.2,280,83.0,2.59,83.0,0.1,4.6135745,1366667.0,0.476
Barbados,2002,Developing,73.5,123.0,0,7.59,133.099491,66.0,0,44.6,0,86.0,5.76,87.0,0.8,11675.39395,12753375.120052494,0.749
Belarus,2002,Developing,67.2,262.0,1,12.23,145.4233629,99.0,14,55.3,1,99.0,6.47,99.0,0.1,1479.383142,9865548.0,0.687
Belgium,2002,Developed,78.0,99.0,1,11.29,320.3177664,6.0,0,59.0,1,96.0,8.46,95.0,0.1,2552.3328,1332785.0,0.875
Belize,2002,Developing,68.5,199.0,0,4.99,262.8299189,97.0,0,42.0,0,93.0,4.38,89.0,0.1,3556.561825,26226.0,0.678
Benin,2002,Developing,55.6,283.0,25,1.23,40.48815233,15.0,1588,19.2,40,76.0,4.27,75.0,2.1,418.6985763,7295394.0,0.407
Bhutan,2002,Developing,62.5,282.0,1,0.29,151.9755193,83.0,27,14.9,1,89.0,7.75,86.0,0.1,885.6382245,66399.0,0.0
Bolivia (Plurinational State of),2002,Developing,63.9,234.0,14,2.26,0.0,77.0,0,44.0,18,76.0,6.53,77.0,0.1,7483.158469138474,12753375.120052494,0.61
Bosnia and Herzegovina,2002,Developing,75.4,11.0,0,3.84,151.1399301,80.94046121593291,28,48.8,0,86.0,7.1,8.0,0.1,1761.537647,377587.0,0.0
Botswana,2002,Developing,46.0,699.0,2,6.41,6.3300072,88.0,7,31.1,4,97.0,6.47,97.0,34.6,355.618382,1779953.0,0.558
Brazil,2002,Developing,71.4,176.0,95,7.0,140.9824766,92.0,1,45.3,109,99.0,7.13,99.0,0.1,2819.649531,1815121.0,0.692
Brunei Darussalam,2002,Developing,74.8,95.0,0,0.13,941.7036868,99.0,0,28.0,0,99.0,3.4,94.0,0.1,16846.2198,12753375.120052494,0.82
Bulgaria,2002,Developed,71.8,157.0,1,10.2,33.26778134,88.0,0,58.1,1,94.0,7.41,93.0,0.1,287.534843,7837161.0,0.723
Burkina Faso,2002,Developing,51.0,338.0,49,4.53,3.195566831,80.94046121593291,1744,12.9,93,69.0,5.26,69.0,3.2,26.7635413,122931.0,0.0
Burundi,2002,Developing,51.5,387.0,24,5.98,9.660010196,80.94046121593291,1016,13.3,39,74.0,5.15,81.0,5.2,122.4335893,6741569.0,0.268
Côte d'Ivoire,2002,Developing,47.7,473.0,65,3.13,0.0,48.0,5882,2.4,93,7.0,4.47,64.0,6.9,7483.158469138474,12753375.120052494,0.6275510645976182
Cabo Verde,2002,Developing,77.0,148.0,0,3.82,155.2072669,4.0,0,22.6,0,92.0,5.17,91.0,0.8,1373.515636,45216.0,0.569
Cambodia,2002,Developing,59.3,273.0,23,1.43,30.91060554,80.94046121593291,1361,12.8,29,54.0,5.95,54.0,2.1,339.676984,12634729.0,0.427
Cameroon,2002,Developing,51.6,47.0,60,4.58,53.70597428,80.94046121593291,1448,21.8,97,66.0,4.86,66.0,7.8,676.397661,1684886.0,0.452
Canada,2002,Developing,79.5,79.0,2,7.7,3895.856308,80.94046121593291,6,59.3,2,88.0,9.37,88.0,0.1,24167.8431,31362.0,0.872
Central African Republic,2002,Developing,45.6,58.0,17,1.47,31.5941587,80.94046121593291,938,17.2,25,42.0,4.16,44.0,13.4,253.768343,397612.0,0.315
Chad,2002,Developing,48.1,43.0,43,0.36,3.039691193,80.94046121593291,7277,14.4,76,31.0,8.33,25.0,5.0,22.854821,91689.0,0.303
Chile,2002,Developing,77.8,11.0,2,6.06,675.7808443,80.94046121593291,0,55.4,3,97.0,6.48,97.0,0.1,4463.545867,15623635.0,0.768
China,2002,Developing,72.7,16.0,422,2.91,106.3590358,7.0,58341,21.9,511,86.0,4.79,86.0,0.1,1148.5857,1284.0,0.6
Colombia,2002,Developing,71.8,163.0,17,4.45,393.8773633,78.0,139,48.2,20,83.0,5.67,81.0,0.1,2355.725857,41572491.0,0.656
Comoros,2002,Developing,59.5,271.0,2,0.08,29.41897495,80.94046121593291,0,18.0,2,98.0,3.39,89.0,0.1,433.2691451,569479.0,0.0
Congo,2002,Developing,52.6,424.0,9,2.55,0.0,80.94046121593291,2788,2.3,14,41.0,2.45,41.0,7.2,7483.158469138474,12753375.120052494,0.488
Costa Rica,2002,Developing,78.3,99.0,1,4.17,112.9493745,94.0,0,47.3,1,94.0,8.23,94.0,0.1,462.14965,46324.0,0.712
Croatia,2002,Developed,74.8,124.0,0,13.39,11.63615139,80.94046121593291,6,55.8,0,95.0,6.19,95.0,0.1,653.71637,444.0,0.759
Cuba,2002,Developing,77.7,19.0,1,4.1,334.7672107,98.0,0,51.3,1,98.0,6.5,99.0,0.1,2994.339988,12753375.120052494,0.692
Cyprus,2002,Developed,78.4,68.0,0,11.68,1128.050886,88.0,0,53.8,0,98.0,6.12,98.0,0.1,16372.29152,976966.0,0.805
Czechia,2002,Developed,75.3,12.0,0,13.47,0.0,86.0,4,59.9,0,97.0,6.8,98.0,0.1,7483.158469138474,12753375.120052494,0.6275510645976182
Democratic People's Republic of Korea,2002,Developing,67.6,167.0,14,3.08,0.0,80.94046121593291,0,26.2,18,99.0,5.9381895280235995,64.0,0.1,7483.158469138474,12753375.120052494,0.6275510645976182
Democratic Republic of the Congo,2002,Developing,52.1,341.0,229,1.85,0.0,80.94046121593291,30466,15.7,331,4.0,2.59,38.0,2.4,7483.158469138474,12753375.120052494,0.6275510645976182
Denmark,2002,Developed,77.0,14.0,0,11.34,4801.546125,80.94046121593291,32,53.3,0,98.0,9.33,98.0,0.1,33228.69291,5375931.0,0.875
Djibouti,2002,Developing,57.9,322.0,2,1.03,13.46662004,80.94046121593291,50,29.0,2,62.0,5.45,62.0,4.3,792.15412,746221.0,0.372
Dominican Republic,2002,Developing,71.4,189.0,7,6.43,4.67359227,63.0,0,45.1,8,74.0,5.79,82.0,2.4,38.46578,8832285.0,0.66
Ecuador,2002,Developing,73.6,157.0,8,3.88,187.3843511,75.0,0,45.1,10,88.0,4.62,88.0,0.3,2183.966796,13726.0,0.675
Egypt,2002,Developing,68.7,177.0,61,0.15,0.0,97.0,653,51.8,75,97.0,5.97,97.0,0.1,7483.158469138474,12753375.120052494,0.617
El Salvador,2002,Developing,73.0,24.0,3,2.97,29.68529375,81.0,0,47.0,4,81.0,7.9,81.0,0.4,248.4125,59433.0,0.621
Equatorial Guinea,2002,Developing,53.5,334.0,3,6.01,234.7874207,80.94046121593291,24,19.1,4,44.0,2.5,36.0,2.9,2711.17114,66647.0,0.542
Eritrea,2002,Developing,58.5,343.0,7,0.83,0.703132179,86.0,460,13.1,10,92.0,4.2,9.0,1.9,21.7687981,3614639.0,0.0
Estonia,2002,Developing,71.2,211.0,0,11.48,7.806042825,80.94046121593291,0,54.6,0,94.0,4.84,94.0,0.1,538.347781,137935.0,0.791
Ethiopia,2002,Developing,53.2,369.0,237,0.8,10.82452594,80.94046121593291,3332,12.9,377,55.0,4.73,35.0,4.6,111.3634356,7497192.0,0.298
Fiji,2002,Developing,67.9,22.0,0,1.85,206.071686,99.0,304,52.2,0,94.0,3.48,93.0,0.1,2259.55796,815691.0,0.687
